weapon,driverHz,shotCount,paintStamps,impacts,peakProjectiles,scenario,gridHash,charge,lastPaintForward,maxOwnedForward,ownedWidth,ownedDepth,centerlineContinuous,connectedReach,ownedArea,simulationMilliseconds,inkSpent,attackSeconds,ownedAreaPerSecond,ownedAreaPer100Ink,emittedProjectiles,fullActions,fullTank,targetValidated,captureSet
4,60,1,4,1,1,flat,15184ccfab0141b47e239129bf671bb38f298c91bfa74293c12f81855c8568c3,0.0,9.60101318359375,10.875,2.125,12.0,1.0,1.25,6.9375,38.639900000000004,0.800000011920929,0.11666666666666667,59.464285714285715,867.1874870778995,1,True,False,False,after-actions
4,60,1,4,1,1,high-drop,6f57eb21ec672de4e50850059c6121e1d594299c03b29104e5ccf0da58f4f1a7,0.0,12.24072265625,13.25,2.125,14.375,1.0,1.25,7.390625,40.8632,0.800000011920929,0.11666666666666667,63.348214285714285,923.8281112338884,1,True,False,False,after-actions
4,60,20,63,20,3,moving,8705e1c7fafbb113d09145acb589344e65989665630b7580c1816a9f4bf5fa17,0.0,9.60101318359375,10.875,5.75,12.125,1.125,10.875,36.890625,75.73530000000001,16.00000023841858,1.7,21.700367647058822,230.56640281429287,20,True,False,False,after-actions
4,60,20,63,20,3,sweep,ecc691c9301dd3569aa4efc170d179ba82d035533f9c608101e90fefb3a2aa81,0.0,9.59173583984375,10.875,7.75,12.25,1.375,10.875,32.9375,83.1661,16.00000023841858,1.7,19.375,205.85937193245633,20,True,False,False,after-actions
4,60,125,386,125,3,tank,faac40ecd40e3343790817fd0d1493935c6657cc2d610abb93a0eabf9534d99b,0.0,9.60101318359375,11.25,3.25,12.625,11.25,11.25,24.40625,261.52410000000003,100.0,10.450000000000001,2.3355263157894735,24.40625,125,True,True,False,after-actions
4,60,1,16,1,1,wall-middle,8fc63f0e82a3118a0f557422a0014889bf1ab0b8de5ec80e83f86c9d83abc032,0.0,6.0,6.25,3.5,7.375,1.0,1.25,7.921875,55.4279,0.800000011920929,0.11666666666666667,67.90178571428571,990.2343602443582,1,True,False,False,after-actions
5,60,20,240,20,1,continuous,47571be0221016639b23daae7d2f92e3066d38bdbb429d8da1ac3c492df4dd3c,0.0,12.58984375,14.5,7.5,14.25,0.0,14.5,38.53125,198.0534,140.0,11.8,3.265360169491525,27.522321428571427,20,True,False,False,after-actions
5,60,1,12,1,1,flat,e7e26e31e7e415af80a5bc62024e281561dd60e87b0be018327cbf1df3f695d4,0.0,12.58984375,14.0,6.375,13.625,0.0,14.0,23.25,65.21600000000001,7.0,0.7166666666666667,32.44186046511628,332.14285714285717,1,True,False,False,after-actions
5,60,1,9,1,1,high-drop,05cece38942c4e239072332d11638a5dddbd37c695d30c44f64401f4e611912b,0.0,10.90338134765625,11.75,1.875,11.375,0.0,11.75,11.6875,46.6362,7.0,0.7166666666666667,16.308139534883722,166.96428571428572,1,True,False,False,after-actions
5,60,20,240,20,1,moving,b2dc26fd8132ac6f4b48d3e7f681a11eb82606b368df1f4fa89729341f7fe685,0.0,12.58984375,14.5,15.875,14.25,0.0,14.5,149.28125,259.1573,140.0,11.8,12.650953389830507,106.62946428571429,20,True,False,False,after-actions
5,60,20,240,20,1,sweep,4e89826ab75624cf2e061673ff943956e0495612086900c607982e391ba71ef1,0.0,12.584716796875,14.25,16.0,14.125,0.0,14.25,124.21875,230.31910000000002,140.0,11.8,10.527012711864407,88.72767857142857,20,True,False,False,after-actions
5,60,14,168,14,1,tank,70e7a8e25ada43427549ade302ec78c4ae11529857a6f31002d3a8f264a4e4b2,0.0,12.58984375,14.375,7.5,14.0,0.0,14.375,37.125,166.2405,98.0,8.3,4.4728915662650595,37.88265306122449,14,True,True,False,after-actions
